col:taxonID	col:gazetteer	col:area
urn:lsid:nmbe.ch:spidersp:047290	text	Colombia, Brazil
urn:lsid:nmbe.ch:spidersp:042568	text	Cameroon
urn:lsid:nmbe.ch:spidersp:014308	text	Easter Is.
urn:lsid:nmbe.ch:spidersp:040555	text	Australia (Northern Territory)
urn:lsid:nmbe.ch:spidersp:016335	text	Costa Rica, Panama
urn:lsid:nmbe.ch:spidersp:027891	text	Europe, Turkey, Caucasus
urn:lsid:nmbe.ch:spidersp:026783	text	Paraguay, Argentina
urn:lsid:nmbe.ch:spidersp:021046	text	Greece (incl. Crete)
urn:lsid:nmbe.ch:spidersp:002726	text	North America
urn:lsid:nmbe.ch:spidersp:029476	text	Mexico
urn:lsid:nmbe.ch:spidersp:053683	text	China
urn:lsid:nmbe.ch:spidersp:052991	text	China
urn:lsid:nmbe.ch:spidersp:048165	text	Madagascar
urn:lsid:nmbe.ch:spidersp:001809	text	Guyana
urn:lsid:nmbe.ch:spidersp:032390	text	Singapore
urn:lsid:nmbe.ch:spidersp:003834	text	Mexico
urn:lsid:nmbe.ch:spidersp:037468	text	Brazil
urn:lsid:nmbe.ch:spidersp:030657	text	Hawaii
urn:lsid:nmbe.ch:spidersp:037192	text	Tanzania
urn:lsid:nmbe.ch:spidersp:051344	text	India
urn:lsid:nmbe.ch:spidersp:007524	text	Sierra Leone, China, Laos
urn:lsid:nmbe.ch:spidersp:033978	text	Colombia, Ecuador
urn:lsid:nmbe.ch:spidersp:031945	text	India
urn:lsid:nmbe.ch:spidersp:053379	text	Turkey
urn:lsid:nmbe.ch:spidersp:005519	text	Senegal
urn:lsid:nmbe.ch:spidersp:044845	text	West, Central Africa
urn:lsid:nmbe.ch:spidersp:023581	text	USA, Mexico
urn:lsid:nmbe.ch:spidersp:026279	text	Australia (New South Wales)
urn:lsid:nmbe.ch:spidersp:024244	text	Europe, Caucasus (Russia, Georgia)
urn:lsid:nmbe.ch:spidersp:046878	text	Nepal
urn:lsid:nmbe.ch:spidersp:042092	text	Azerbaijan
urn:lsid:nmbe.ch:spidersp:045757	text	Colombia
urn:lsid:nmbe.ch:spidersp:013137	text	Angola
urn:lsid:nmbe.ch:spidersp:038267	text	China
urn:lsid:nmbe.ch:spidersp:017877	text	Uruguay
urn:lsid:nmbe.ch:spidersp:021416	text	Canada
urn:lsid:nmbe.ch:spidersp:014758	text	Colombia to Bolivia and Brazil
urn:lsid:nmbe.ch:spidersp:042138	text	Indonesia (Sulawesi)
urn:lsid:nmbe.ch:spidersp:016765	text	Caroline Is.
urn:lsid:nmbe.ch:spidersp:040105	text	France, Hungary, Belarus, Greece
urn:lsid:nmbe.ch:spidersp:009869	text	USA
urn:lsid:nmbe.ch:spidersp:048535	text	Borneo
urn:lsid:nmbe.ch:spidersp:035005	text	Brazil
urn:lsid:nmbe.ch:spidersp:037038	text	Tanzania
urn:lsid:nmbe.ch:spidersp:029026	text	New Guinea
urn:lsid:nmbe.ch:spidersp:002376	text	Colombia, Venezuela, Brazil
urn:lsid:nmbe.ch:spidersp:007174	text	New Zealand
urn:lsid:nmbe.ch:spidersp:051714	text	New Zealand
urn:lsid:nmbe.ch:spidersp:005149	text	Montserrat to St. Vincent
urn:lsid:nmbe.ch:spidersp:053729	text	Greece (Crete)
urn:lsid:nmbe.ch:spidersp:030207	text	South Africa
urn:lsid:nmbe.ch:spidersp:050806	text	Australia (New South Wales)
urn:lsid:nmbe.ch:spidersp:025906	text	Algeria, Tunisia
urn:lsid:nmbe.ch:spidersp:038637	text	USA
urn:lsid:nmbe.ch:spidersp:013567	text	Peru
