col:ID	col:citation	col:doi
2118467109	Costa, E. L. S. & Ruiz, G. R. S. (2014). Taxonomic revision of Scopocira Simon, 1900 (Araneae: Salticidae). Zootaxa 3893(2): 151-195.	10.11646/zootaxa.3893.2.1
140368755	Russell-Smith, A., Jocqué, R. & Alderweireldt, M. (2009). A revision of the African wolf spider genus Amblyothele Simon (Araneae, Lycosidae, Piratinae). ZooKeys 16: 149-180.	10.3897/zookeys.16.233
1040689792	Berland, L. (1924b). Araignées de l'ile de Pàques et des iles Juan Fernandez. In: The Natural History of Juan Fernandez and Easter Island. Vol. 3(3), 419-437.	
-1445519381	Platnick, N. I. & Baehr, B. (2006). A revision of the Australasian ground spiders of the family Prodidomidae (Araneae, Gnaphosoidea). Bulletin of the American Museum of Natural History 298: 1-287.	10.1206/0003-0090(2006)298[1:AROTAG]2.0.CO;2
-471692834	Chickering, A. M. (1954). The spider genus Mangora (Argiopidae) in Panama. Bulletin of the Museum of Comparative Zoology 111: 195-215.	
1019425789	Linnaeus, C. (1758). Systema naturae per regna tria naturae, secundum classes, ordines, genera, species cum characteribus differentiis, synonymis, locis. Editio decima, reformata. Laurentius Salvius, Holmiae [= Stockholm], 821 pp. (Araneae, pp. 619-624).	10.5962/bhl.title.542
-36741868	Platnick, N. I. & Murphy, J. A. (1987). Studies on Malagasy spiders, 3. The zelotine Gnaphosidae (Araneae, Gnaphosoidea), with a review of the genus Camillina. American Museum Novitates 2874: 1-33.	
1875220891	Kulczyński, W. (1903a). Aranearum et Opilionum species in insula Creta a comite Dre Carolo Attems collectae. Bulletin International de l'Academie des Sciences de Cracovie 1903: 32-58.	
-1354450137	Gertsch, W. J. & Mulaik, S. (1940). The spiders of Texas. I. Bulletin of the American Museum of Natural History 77: 307-340.	
-188974356	Pickard-Cambridge, F. O. (1900). Arachnida - Araneida and Opiliones. In: Biologia Centrali-Americana, Zoology. London 2, 89-192, pl. 6-15.	
-1621227148	Xu, X., Yu, L., Liu, F. X. & Li, D. Q. (2022). Delimitation of the segmented trapdoor spider genus Luthela gen. nov., with comments on the genus Sinothela from northern China (Araneae, Mesothelae, Liphistiidae). Zootaxa 5091(1): 131-154.	10.11646/zootaxa.5091.1.5
-1434745848	Gregorič, M., Blackledge, T. A., Agnarsson, I. & Kuntner, M. (2015b). A molecular phylogeny of bark spiders reveals new species from Africa and Madagascar (Araneae: Araneidae: Caerostris). Journal of Arachnology 43(3): 293-312.	10.1636/0161-8202-43.3.293
-466987406	Szombathy, C. (1915a). Attides nouveaux appartenant aux collections du Musée national hongrois. Annales Musei Nationalis Hungarici 13: 468-490.	
-1730849577	Gertsch, W. J. (1971). A report on some Mexican cave spiders. Association for Mexican Cave Studies Bulletin 4: 47-111.	
-653803036	Rheims, C. A. & Brescovit, A. D. (2000). Six new species of Scytodes Latreille, 1804 (Araneae, Scytodidae) from Brazil. Zoosystema 22: 719-730.	
1928414086	Suman, T. W. (1971). Spiders of the family Thomisidae in Hawaii. Pacific Insects 12: 773-864.	
836913935	Bosselaers, J. & Jocqué, R. (2000a). Hortipes, a huge genus of tiny Afrotropical spiders (Araneae, Liocranidae). Bulletin of the American Museum of Natural History 256: 1-108.	10.1206/0003-0090(2000)256<0004:HAHGOT>2.0.CO;2
178926611	Simon, E. (1885d). Matériaux pour servir à la faune arachnologiques de l'Asie méridionale. I. Arachnides recueillis à Wagra-Karoor près Gundacul, district de Bellary par M. M. Chaper. II. Arachnides recueillis à Ramnad, district de Madura par M. l'abbé Fabre. Bulletin de la Société Zoologique de France 10: 1-39, pl. 10.	
696579553	Simon, E. (1895g). Etudes arachnologiques. 26e. XLI. Descriptions d'espèces et de genres nouveaux de l'ordre des Araneae. Annales de la Société Entomologique de France 64: 131-160.	
-1732902431	Simon, E. (1901c). Descriptions d'arachnides nouveaux de la famille des Attidae (suite). Annales de la Société Entomologique de Belgique 45: 141-161.	
-340301632	Tikader, B. K. (1963e). Studies on interesting south Indian crab-spiders (Family: Thomisidae). Proceedings of the Indian Academy of Science 58(B): 249-262.	
-565107315	Roewer, C. F. (1961b). Opilioniden und Araneen, In Le Parc National de Niokolo-Koba, 2. Mémoires de l'Institut Français d'Afrique Noire 62: 33-81.	
-23202286	Henrard, A. & Jocqué, R. (2012). An overview of Afrotropical canopy-dwelling Orchestina (Araneae, Oonopidae), with a wealth of remarkable sexual dimorphic characters. Zootaxa 3284: 1-104.	10.11646/zootaxa.3284.1.1
629272461	Hentz, N. M. (1847). Descriptions and figures of the araneides of the United States. Boston Journal of Natural History 5: 443-478.	
-659705197	Platnick, N. I. (2000a). A relimitation and revision of the Australasian ground spider family Lamponidae (Araneae: Gnaphosoidea). Bulletin of the American Museum of Natural History 245: 1-330.	10.1206/0003-0090(2000)245<0001:ARAROT>2.0.CO;2
-1747290995	Thorell, T. (1875a). Diagnoses Aranearum Europaearum aliquot novarum. Tijdschrift voor Entomologie 18: 81-108.	
1863890728	Grismado, C. J., Deeleman-Reinhold, C. L., Piacentini, L. N., Izquierdo, M. A. & Ramírez, M. J. (2014). Taxonomic review of the goblin spiders of the genus Dysderoides Fage and their Himalayan relatives of the genera Trilacuna Tong and Li and Himalayana, new genus (Araneae, Oonopidae). Bulletin of the American Museum of Natural History 387: 1-108.	10.5531/sd.sp.1
792840303	Logunov, D. V. & Huseynov, E. F. (2008). A faunistic review of the spider family Philodromidae (Aranei) of Azerbaijan. Arthropoda Selecta 17: 117-131.	
248100328	Platnick, N. I., Dupérré, N., Berniker, L. & Bonaldo, A. B. (2013). The goblin spider genera Prodysderina, Aschnaoonops, and Bidysderina (Araneae, Oonopidae). Bulletin of the American Museum of Natural History 373: 1-102.	10.1206/822.1
-1332763597	Miller, F. (1970). Spinnenarten der Unterfamilie Micryphantinae und der Familie Theridiidae aus Angola. Publicações Culturais da Companhia de Diamantes de Angola 82: 75-166.	
2084733133	Hu, J. L. (2001). Spiders in Qinghai-Tibet Plateau of China. Henan Science and Technology Publishing House, 658 pp.	
335324685	Strand, E. (1909d). Neue oder wenig bekannte amerikanische Lycosiden, aus der Sammlung des vestorbenen Mr Thomas Workman. Zeitschrift für Naturwissenschaften 81: 277-286.	
-2022851926	Fox, I. (1937c). Notes on North American agelenid spiders. The Canadian Entomologist 69(8): 174-177.	10.4039/Ent69174-8
1233477128	Keyserling, E. (1864). Beschreibungen neuer und wenig bekannter Arten aus der Familie Orbitelae Latr. oder Epeiridae Sund. Sitzungs-Berichte der naturwissenschaftlichen Gesellschaft Isis in Dresden 1863: 63-98, 119-154, pl. 1-7.	
